Number of Entrances,Landing Page Path,Second Page Path,Third Page Path,Exit Path
1,/,/about-us/contact-us/,/,/?encid=$$ClientID$$Yvhs63J68ma88np7ecRH_w==$$
8,/,/about-us/contact-us/,/,/about-us/contact-us/
1,/,/about-us/contact-us/,/,/portal/login/
1,/,/about-us/contact-us/,/,/quote/idealtimeout/
2,/,/about-us/partners/,/,/
1,/,/about-us/partners/,/,/about-us/partners/
3,/,/about-us/why-business-insurance-now/,/,/
6,/,/about-us/why-business-insurance-now/,/,/about-us/why-business-insurance-now/
1,/,/about-us/why-business-insurance-now/,/,/architects/workers-compensation/
1,/,/about-us/why-business-insurance-now/,/,/business-center/
1,/,/about-us/why-business-insurance-now/,/,/employment-agencies/
1,/,/about-us/why-business-insurance-now/,/,/industries/
1,/,/about-us/why-business-insurance-now/,/,/legal/compensation-disclosure/
1,/,/about-us/why-business-insurance-now/,/,/professional-liability/
1,/,/about-us/why-business-insurance-now/,/,/quote/NaicsFinder.aspx
1,/,/about-us/why-business-insurance-now/,/,/quote/NetQuote.aspx?WebBusClassId=9999001
1,/,/about-us/why-business-insurance-now/,/,/quote/ion.aspx?WebBusClassId=10002
1,/,/accountants/,/,/
1,/,/accountants/,/,/accountants/
6,/,/agentfinder/,/,/
27,/,/agentfinder/,/,/agentfinder/
1,/,/agentfinder/,/,/legal/licenses/
1,/,/agentfinder/,/,/portal2/bins/quotes?showthankyou=true&core=true
1,/,/agentfinder/,/,/quote/?step=ContactInformation
1,/,/allied-health-care/,/,/allied-health-care/
1,/,/allied-health-care/,/,/quote/GAHandler.aspx?action=new&WebBusClassId=6028&esource=10013
1,/,/arizona-business-insurance/,/,/arizona-business-insurance/
1,/,/arkansas-business-insurance/,/,/arkansas-business-insurance/
2,/,/auto-insurance/,/,/
1,/,/auto-insurance/,/,/agentfinder/
4,/,/auto-insurance/,/,/auto-insurance/
1,/,/auto-insurance/,/,/portal/activate/?token=d64fce15-b285-4197-9620-cb3694ab2daf
1,/,/blog/,/,/blog/
1,/,/blog/,/,/blog/category/Business-Tips/
1,/,/blog/,/,/business-center/business-insurance/overview/
1,/,/business-center/,/,/
1,/,/business-center/,/,/about-us/history/
1,/,/business-center/,/,/about-us/why-business-insurance-now/
1,/,/business-center/,/,/business-center/
1,/,/business-center/,/,/business-center/business-insurance/commercial-property-insurance/
1,/,/business-center/,/,/business-center/business-insurance/company-growth/
1,/,/business-center/,/,/login/
1,/,/business-center/,/,/management-consultants/
1,/,/business-center/,/,/news/small-businesses-focus-on-sustainability-energy-efficiency-959/
1,/,/business-center/,/,/quote/
1,/,/business-center/,/,/quote/NetQuote.aspx?WebBusClassId=9999001
1,/,/business-center/,/,/quote/Tech.aspx?WebBusClassId=4001
1,/,/business-center/,/,/workers-compensation/
4,/,/business-center/business-insurance/,/,/
1,/,/business-center/business-insurance/,/,/agentfinder/
5,/,/business-center/business-insurance/,/,/business-center/business-insurance/
1,/,/business-center/business-insurance/,/,/general-liability/
1,/,/business-center/business-insurance/,/,/login/forgot-password.aspx
3,/,/business-center/business-insurance/,/,/quote/
1,/,/business-center/business-insurance/,/,/quote/?step=BusinessBasics
1,/,/business-center/business-insurance/,/,/quote/?step=ContactInformation
1,/,/business-center/business-insurance/,/,/quote/?step=Services
1,/,/business-center/business-insurance/,/,/quote/NaicsFinder.aspx?search=automation+reseller
3,/,/business-center/business-insurance/,/,/quote/NetQuote.aspx?WebBusClassId=9999001
1,/,/business-center/business-insurance/,/,/quote/NetQuote.aspx?state=1&WebBusClassId=14025
1,/,/business-center/business-insurance/business-owners-policy/,/,/
2,/,/business-center/business-insurance/business-owners-policy/,/,/business-center/business-insurance/business-owners-policy/
1,/,/business-center/business-insurance/business-owners-policy/,/,/business-center/business-insurance/guide/introduction/
1,/,/business-center/business-insurance/overview/,/,/business-center/business-insurance/commercial-liability/requirements/
1,/,/business-center/business-insurance/overview/,/,/business-center/business-insurance/overview/
1,/,/business-center/business-insurance/renewals/,/,/
2,/,/california-business-insurance/,/,/
1,/,/california-business-insurance/,/,/california-business-insurance/
1,/,/colorado-business-insurance/,/,/colorado-business-insurance/
1,/,/dentist/,/,/
1,/,/doctors/,/,/doctors/
1,/,/draftsmen/,/,/quote/ion.aspx?WebBusClassId=7002
1,/,/employment-agencies/,/,/agentfinder/
1,/,/employment-practices-liability/,/,/
2,/,/employment-practices-liability/,/,/employment-practices-liability/
1,/,/employment-practices-liability/,/,/portal2/bins/quotes?showthankyou=true&core=true
1,/,/engineers/,/,/
1,/,/engineers/,/,/engineers/
1,/,/engineers/,/,/quote/GAHandler.aspx?action=new&WebBusClassId=7001&esource=10016
1,/,/error.aspx,/,/error.aspx
2,/,/error.aspx?aspxerrorpath=/workers-compensation/default.aspx,/,/
6,/,/error.aspx?aspxerrorpath=/workers-compensation/default.aspx,/,/error.aspx?aspxerrorpath=/workers-compensation/default.aspx
1,/,/error.aspx?aspxerrorpath=/workers-compensation/default.aspx,/,/missouri-business-insurance/
1,/,/florida-business-insurance/,/,/
1,/,/florida-business-insurance/,/,/portal2/bins/quotes?showthankyou=true&core=true
11,/,/general-liability/,/,/
2,/,/general-liability/,/,/about-us/
1,/,/general-liability/,/,/agentfinder/
1,/,/general-liability/,/,/business-center/business-insurance/business-owners-policy/
21,/,/general-liability/,/,/general-liability/
1,/,/general-liability/,/,/illinois-business-insurance/
1,/,/general-liability/,/,/legal/compensation-disclosure/
1,/,/general-liability/,/,/login/
1,/,/general-liability/,/,/management-consultants/
1,/,/general-liability/,/,/portal2/bins/quotes?processing=True&sistersite=False
1,/,/general-liability/,/,/professional-liability/
2,/,/general-liability/,/,/quote/
1,/,/general-liability/,/,/quote/?step=ChooseYourPolicies
1,/,/general-liability/,/,/quote/?step=ContactInformation
1,/,/general-liability/,/,/quote/GAHandler.aspx?action=new&WebBusClassId=15001&esource=10016
1,/,/general-liability/,/,/quote/GAHandler.aspx?action=new&WebBusClassId=4003&esource=10020
1,/,/general-liability/,/,/quote/NaicsFinder.aspx?search=Roadside+provider
1,/,/general-liability/,/,/quote/NaicsFinder.aspx?search=cleaning
1,/,/general-liability/,/,/quote/NaicsFinder.aspx?search=educational+consulting
1,/,/general-liability/,/,/quote/idealtimeout/
1,/,/general-liability/,/,/restaurants/umbrella-liability/
1,/,/general-liability/,/,/umbrella-liability/
1,/,/illinois-business-insurance/,/,/illinois-business-insurance/
1,/,/indiana-business-insurance/,/,/indiana-business-insurance/
1,/,/industries/,/,/industries/
1,/,/industries/,/,/portal2/bins/quotes?showthankyou=true&core=true
1,/,/industries/,/,/quote/
1,/,/industries/,/,/quote/Warmleads.aspx?WebBusClassId=9999999
1,/,/industries/,/,/quote/ion.aspx?WebBusClassId=10037
1,/,/it-professionals/,/,/quote/Tech.aspx?WebBusClassId=1001
1,/,/janitors/,/,/
1,/,/janitors/,/,/janitors/
1,/,/janitors/,/,/quote/GAHandler.aspx?action=new&WebBusClassId=15001&esource=10013
1,/,/legal/compensation-disclosure/,/,/legal/compensation-disclosure/
1,/,/legal/licenses/,/,/
2,/,/legal/licenses/,/,/legal/licenses/
2,/,/legal/privacy-policy/,/,/legal/privacy-policy/
1,/,/legal/privacy-policy/,/,/quote/
1,/,/legal/privacy-policy/,/,/quote/ION.aspx?WebBusClassId=6003
124,/,/login/,/,/
2,/,/login/,/,/agentfinder/
1,/,/login/,/,/business-center/business-insurance/
1,/,/login/,/,/business-center/business-insurance/guide/introduction/
1,/,/login/,/,/error.aspx?aspxerrorpath=/portal/view-certificate.aspx
1,/,/login/,/,/error.aspx?aspxerrorpath=/portal2/bins/home/routereturninguser
4,/,/login/,/,/general-liability/
47,/,/login/,/,/login/
1,/,/login/,/,/login/existing-company.aspx?portal=1
4,/,/login/,/,/login/forgot-password.aspx
10,/,/login/,/,/portal/certificates.aspx
1,/,/login/,/,/portal/create-certificate-2.aspx
1,/,/login/,/,/portal/create-certificate-3.aspx?mode=edit
1,/,/login/,/,/portal/create-certificate-success.aspx?CertHolderId=124864
1,/,/login/,/,/portal/create-certificate-success.aspx?CertHolderId=136048
1,/,/login/,/,/portal/create-certificate-success.aspx?CertHolderId=136129
1,/,/login/,/,/portal/create-certificate-success.aspx?CertHolderId=136300
1,/,/login/,/,/portal/create-certificate-success.aspx?CertHolderId=136307
1,/,/login/,/,/portal/create-certificate-success.aspx?CertHolderId=136398
1,/,/login/,/,/portal/create-certificate-success.aspx?CertHolderId=136435
1,/,/login/,/,/portal/create-certificate-success.aspx?CertHolderId=136451
1,/,/login/,/,/portal/create-certificate-success.aspx?CertHolderId=136620
1,/,/login/,/,/portal/create-certificate-success.aspx?vw=n
1,/,/login/,/,/portal/login/
7,/,/login/,/,/portal2/bins
12,/,/login/,/,/portal2/bins/
1,/,/login/,/,/portal2/bins/Documents/InitiateSign/23054
1,/,/login/,/,/portal2/bins/Documents/InitiateSign/23152
3,/,/login/,/,/portal2/bins/Documents/exception
1,/,/login/,/,/portal2/bins/Documents?showthankyou=False
11,/,/login/,/,/portal2/bins/Documents?showthankyou=True&faxpending=False
28,/,/login/,/,/portal2/bins/certificates
2,/,/login/,/,/portal2/bins/certificates/create
1,/,/login/,/,/portal2/bins/certificates/create-liability-success/136582
1,/,/login/,/,/portal2/bins/certificates/create-liability-success/136912
1,/,/login/,/,/portal2/bins/certificates/create-liability-success/136966
1,/,/login/,/,/portal2/bins/certificates/create-liability-success/137097
1,/,/login/,/,/portal2/bins/certificates/create-liability-success/137285
1,/,/login/,/,/portal2/bins/certificates/create-liability-success/137591
1,/,/login/,/,/portal2/bins/certificates/create-liability-success/137602
1,/,/login/,/,/portal2/bins/certificates/create-liability-success/137677
1,/,/login/,/,/portal2/bins/certificates/create-liability-success/137711
1,/,/login/,/,/portal2/bins/certificates/create-liability-success/137924
1,/,/login/,/,/portal2/bins/certificates/create-liability-success/138129
1,/,/login/,/,/portal2/bins/certificates/create-liability-success/138199
1,/,/login/,/,/portal2/bins/certificates/create-liability-success/138222
1,/,/login/,/,/portal2/bins/certificates/create-liability-success/138450
1,/,/login/,/,/portal2/bins/certificates/create-liability-success/138934
1,/,/login/,/,/portal2/bins/certificates/create-liability-success/139488
1,/,/login/,/,/portal2/bins/certificates/create-liability-success/139650
1,/,/login/,/,/portal2/bins/company/changepassword?returl=
2,/,/login/,/,/portal2/bins/company/info
4,/,/login/,/,/portal2/bins/company/settings
8,/,/login/,/,/portal2/bins/documents
1,/,/login/,/,/portal2/bins/documents/InitiateSign/23032
16,/,/login/,/,/portal2/bins/home/contactus
14,/,/login/,/,/portal2/bins/policies
1,/,/login/,/,/portal2/bins/policies/detail/685122?lobcode=BOP
1,/,/login/,/,/portal2/bins/policies/detail/707375?lobcode=GL
1,/,/login/,/,/portal2/bins/policies/detail/717450?lobcode=WC
1,/,/login/,/,/portal2/bins/policies/detail/727441?lobcode=WC
1,/,/login/,/,/portal2/bins/policies/detail/739415?lobcode=BOP
101,/,/login/,/,/portal2/bins/quotes
22,/,/login/,/,/portal2/bins/quotes?qq=true
16,/,/login/,/,/portal2/bins/quotes?showthankyou=true&core=true
1,/,/login/,/,/portal2/mar/quotes
1,/,/login/,/,/products/
2,/,/login/,/,/professional-liability/
1,/,/login/,/,/quote/?step=BusinessBasics
1,/,/login/,/,/quote/?step=ErrorsAndOmissions
1,/,/login/,/,/quote/?step=Services
1,/,/login/,/,/quote/?step=WorkersComp
1,/,/login/,/,/quote/?step=YourAccount
1,/,/login/,/,/quote/?step=ZipCode&mode=
1,/,/login/,/,/quote/NetQuote.aspx?WebBusClassId=14012
1,/,/login/,/,/quote/idealtimeout/
1,/,/login/,/,/quote/ion.aspx?WebBusClassId=19001
2,/,/management-consultants/,/,/
1,/,/management-consultants/,/,/agentfinder/
2,/,/management-consultants/,/,/management-consultants/
1,/,/management-consultants/,/,/portal2/bins/quotes?showthankyou=true&core=true
1,/,/management-consultants/,/,/quote/?step=YourAccount
1,/,/marketing-consultants/,/,/marketing-consultants/
1,/,/massachusetts-business-insurance/,/,/quote/NetQuote.aspx?state=1&WebBusClassId=14028
1,/,/michigan-business-insurance/,/,/
1,/,/new-jersey-business-insurance/,/,/new-jersey-business-insurance/
1,/,/new-york-business-insurance/,/,/portal2/bins/
1,/,/new-york-business-insurance/,/,/portal2/bins/quotes?showthankyou=true&core=true
3,/,/news/,/,/
1,/,/news/,/,/business-center/business-insurance/
1,/,/news/,/,/business-center/business-insurance/guide/introduction/
5,/,/news/,/,/news/
1,/,/news/,/,/news/businesses-increasingly-rewarding-employees-for-taking-part-in-wellness-programs-930/
1,/,/news/,/,/news/small-firms-optimistic-entering-the-new-year-1062/
1,/,/news/4-ways-to-improve-company-culture-1060/,/,/
1,/,/news/4-ways-to-improve-company-culture-1060/,/,/news/4-ways-to-improve-company-culture-1060/
1,/,/news/small-firms-optimistic-entering-the-new-year-1062/,/,/news/small-firms-optimistic-entering-the-new-year-1062/
1,/,/north-carolina-business-insurance/,/,/
1,/,/north-carolina-business-insurance/,/,/quote/?step=ZipCode
3,/,/office-based-businesses/,/,/
1,/,/office-based-businesses/,/,/business-center/business-insurance/guide/introduction/
1,/,/office-based-businesses/,/,/quote/NaicsFinder.aspx
1,/,/ohio-business-insurance/,/,/ohio-business-insurance/
1,/,/pennsylvania-business-insurance/,/,/about-us/contact-us/
4,/,/portal/login/,/,/
1,/,/portal/login/,/,/portal/login/
1,/,/portal/login/?clientid=662334,/,/
3,/,/portal2/bins/quotes,/,/
1,/,/portal2/bins/quotes,/,/portal2/bins/
2,/,/portal2/bins/quotes,/,/portal2/bins/home/contactus
3,/,/portal2/bins/quotes,/,/portal2/bins/quotes
1,/,/portal2/bins/quotes?processing=True&sistersite=False,/,/
1,/,/portal2/bins/quotes?processing=True&sistersite=False,/,/portal2/bins/quotes
1,/,/portal2/bins/quotes?processing=True&sistersite=False,/,/portal2/bins/quotes?processing=True&sistersite=False
2,/,/portal2/bins/quotes?qq=true,/,/portal2/bins/quotes?qq=true
1,/,/portal2/bins/quotes?showthankyou=true&core=true,/,/
7,/,/portal2/bins/quotes?showthankyou=true&core=true,/,/portal2/bins/quotes?showthankyou=true&core=true
1,/,/press-releases/,/,/
5,/,/products/,/,/
1,/,/products/,/,/about-us/history/
1,/,/products/,/,/about-us/partners/
1,/,/products/,/,/about-us/testimonials/
1,/,/products/,/,/business-center/business-insurance/
1,/,/products/,/,/general-liability/
4,/,/products/,/,/products/
1,/,/products/,/,/quote/
1,/,/products/,/,/quote/idealtimeout/
1,/,/products/,/,/small-business-liability/
3,/,/professional-liability/,/,/
1,/,/professional-liability/,/,/?action=new
1,/,/professional-liability/,/,/about-us/
1,/,/professional-liability/,/,/accountants/
1,/,/professional-liability/,/,/business-center/business-insurance/business-owners-policy/
1,/,/professional-liability/,/,/engineers/
1,/,/professional-liability/,/,/portal2/bins/quotes?showthankyou=true&core=true
4,/,/professional-liability/,/,/professional-liability/
3,/,/professional-liability/,/,/quote/
1,/,/professional-liability/,/,/quote/?step=BusinessSpecific
1,/,/professional-liability/,/,/quote/?step=ChooseYourPolicies
1,/,/professional-liability/,/,/quote/NaicsFinder.aspx?search=coaching
1,/,/professional-liability/,/,/quote/Tech.aspx?WebBusClassId=1001
15,/,/quote/,/,/
1,/,/quote/,/,/?encid=$$ClientID$$vxcIeulS7MQYGEpZPQeAgQ==$$
3,/,/quote/,/,/about-us/contact-us/
3,/,/quote/,/,/agentfinder/
1,/,/quote/,/,/auto-insurance/
1,/,/quote/,/,/general-liability/
1,/,/quote/,/,/management-consultants/
1,/,/quote/,/,/portal2/bins
1,/,/quote/,/,/portal2/bins/documents/InitiateSign/24742
1,/,/quote/,/,/portal2/bins/quotes?qq=true
6,/,/quote/,/,/portal2/bins/quotes?showthankyou=true&core=true
27,/,/quote/,/,/quote/
1,/,/quote/,/,/quote/?step=Services
1,/,/quote/,/,/quote/?step=ZipCode
1,/,/quote/,/,/quote/GAHandler.aspx?action=new&WebBusClassId=19001&esource=10016
1,/,/quote/,/,/quote/GAHandler.aspx?action=new&WebBusClassId=6001&esource=10013
3,/,/quote/,/,/quote/ION.aspx?WebBusClassId=6001
1,/,/quote/,/,/quote/NaicsFinder.aspx?search=famaliy+memroes
1,/,/quote/,/,/quote/NetQuote.aspx?WebBusClassId=13008
3,/,/quote/,/,/quote/NetQuote.aspx?WebBusClassId=9999001
1,/,/quote/,/,/quote/NetQuote.aspx?state=1&WebBusClassId=10037
1,/,/quote/,/,/quote/QuickQuotes.aspx?WebBusClassId=11008
2,/,/quote/,/,/quote/QuickQuotes.aspx?WebBusClassId=14024
1,/,/quote/,/,/quote/QuickQuotes.aspx?WebBusClassId=9999001
1,/,/quote/,/,/quote/QuickQuotes2.aspx?WebBusClassId=14024
1,/,/quote/,/,/quote/QuickQuotes2.aspx?WebBusClassId=9004
2,/,/quote/,/,/quote/Tech.aspx?WebBusClassId=1001
1,/,/quote/,/,/quote/Warmleads.aspx?WebBusClassId=9999999
6,/,/quote/,/,/quote/idealtimeout/
64,/,/quote/?step=ZipCode,/,/
1,/,/quote/?step=ZipCode,/,/about-us/contact-us/
5,/,/quote/?step=ZipCode,/,/agentfinder/
1,/,/quote/?step=ZipCode,/,/business-center/business-insurance/
1,/,/quote/?step=ZipCode,/,/error.aspx?aspxerrorpath=/workers-compensation/default.aspx
1,/,/quote/?step=ZipCode,/,/general-liability/
3,/,/quote/?step=ZipCode,/,/login/
1,/,/quote/?step=ZipCode,/,/login/existing-company.aspx?email=michele0519@hotmail.com&password=travis5
1,/,/quote/?step=ZipCode,/,/login/existing-company.aspx?email=reforestmd@gmail.com&password=Gr8te101121
1,/,/quote/?step=ZipCode,/,/login/forgot-password.aspx
1,/,/quote/?step=ZipCode,/,/portal2/bins
2,/,/quote/?step=ZipCode,/,/portal2/bins/company/info
4,/,/quote/?step=ZipCode,/,/portal2/bins/home/contactus
7,/,/quote/?step=ZipCode,/,/portal2/bins/quotes
8,/,/quote/?step=ZipCode,/,/portal2/bins/quotes?processing=True&sistersite=False
178,/,/quote/?step=ZipCode,/,/portal2/bins/quotes?showthankyou=true&core=true
2,/,/quote/?step=ZipCode,/,/quote/
13,/,/quote/?step=ZipCode,/,/quote/?step=BusinessBasics
1,/,/quote/?step=ZipCode,/,/quote/?step=BusinessBasics/RestaurantBasics
22,/,/quote/?step=ZipCode,/,/quote/?step=BusinessLocations
1,/,/quote/?step=ZipCode,/,/quote/?step=BusinessPractices
4,/,/quote/?step=ZipCode,/,/quote/?step=BusinessSpecific
41,/,/quote/?step=ZipCode,/,/quote/?step=ChooseYourPolicies
62,/,/quote/?step=ZipCode,/,/quote/?step=ContactInformation
1,/,/quote/?step=ZipCode,/,/quote/?step=ErrorsAndOmissions
1,/,/quote/?step=ZipCode,/,/quote/?step=GeneralLiability
2,/,/quote/?step=ZipCode,/,/quote/?step=IndustryConfirmation
4,/,/quote/?step=ZipCode,/,/quote/?step=InsuranceHistory
1,/,/quote/?step=ZipCode,/,/quote/?step=JanitorBasics
2,/,/quote/?step=ZipCode,/,/quote/?step=ServiceDetails
3,/,/quote/?step=ZipCode,/,/quote/?step=Services
21,/,/quote/?step=ZipCode,/,/quote/?step=YourAccount
36,/,/quote/?step=ZipCode,/,/quote/?step=ZipCode
1,/,/quote/?step=ZipCode,/,/quote/GAHandler.aspx?action=new&WebBusClassId=15001&esource=10016
1,/,/quote/?step=ZipCode,/,/quote/NetQuote.aspx?WebBusClassId=11038
1,/,/quote/?step=ZipCode,/,/quote/NetQuote.aspx?WebBusClassId=4003
1,/,/quote/?step=ZipCode,/,/quote/NetQuote.aspx?WebBusClassId=7001
1,/,/quote/?step=ZipCode,/,/quote/NetQuote.aspx?WebBusClassId=9999001
2,/,/quote/?step=ZipCode,/,/quote/NetQuote.aspx?state=1&WebBusClassId=13001
3,/,/quote/?step=ZipCode,/,/quote/NetQuote.aspx?state=1&WebBusClassId=14008
1,/,/quote/?step=ZipCode,/,/quote/NetQuote.aspx?state=1&WebBusClassId=14009
2,/,/quote/?step=ZipCode,/,/quote/NetQuote.aspx?state=1&WebBusClassId=14011
1,/,/quote/?step=ZipCode,/,/quote/NetQuote.aspx?state=1&WebBusClassId=14021
2,/,/quote/?step=ZipCode,/,/quote/NetQuote.aspx?state=1&WebBusClassId=14025
7,/,/quote/?step=ZipCode,/,/quote/NetQuote.aspx?state=1&WebBusClassId=14028
1,/,/quote/?step=ZipCode,/,/quote/NetQuote.aspx?state=1&WebBusClassId=14031
2,/,/quote/?step=ZipCode,/,/quote/NetQuote.aspx?state=1&WebBusClassId=14032
1,/,/quote/?step=ZipCode,/,/quote/NetQuote.aspx?state=1&WebBusClassId=14033
1,/,/quote/?step=ZipCode,/,/quote/NetQuote.aspx?state=1&WebBusClassId=15010
1,/,/quote/?step=ZipCode,/,/quote/NetQuote.aspx?state=1&WebBusClassId=9028
1,/,/quote/?step=ZipCode,/,/quote/QuickQuotes.aspx?WebBusClassId=23002
1,/,/quote/?step=ZipCode,/,/quote/QuickQuotes.aspx?WebBusClassId=9999001
2,/,/quote/?step=ZipCode,/,/quote/Warmleads.aspx?WebBusClassId=9002
15,/,/quote/?step=ZipCode,/,/quote/idealtimeout/
1,/,/quote/?step=ZipCode,/,/quote/ion.aspx?WebBusClassId=15001
1,/,/quote/?step=ZipCode,/,/sitemap/
1,/,/quote/?step=ZipCode,/,/workers-compensation/
2,/,/quote/?step=ZipCode&mode=,/,/portal2/bins/quotes?showthankyou=true&core=true
1,/,/quote/?step=ZipCode&mode=,/,/quote/?step=ChooseYourPolicies
1,/,/quote/GAHandler.aspx?action=new&WebBusClassId=10002&esource=10016,/,/quote/GAHandler.aspx?action=new&WebBusClassId=10002&esource=10016
1,/,/quote/GAHandler.aspx?action=new&WebBusClassId=15001&esource=10013,/,/quote/ion.aspx?WebBusClassId=15001
1,/,/quote/GAHandler.aspx?action=new&WebBusClassId=15001&esource=18259,/,/quote/GAHandler.aspx?action=new&WebBusClassId=15001&esource=18259
1,/,/quote/ION.aspx?WebBusClassId=20003,/,/
1,/,/quote/ION.aspx?WebBusClassId=20003,/,/quote/GAHandler.aspx?action=new&WebBusClassId=20003&esource=10013
1,/,/quote/ION.aspx?WebBusClassId=20004,/,/
1,/,/quote/ION.aspx?WebBusClassId=20004,/,/login/
1,/,/quote/ION.aspx?WebBusClassId=20004,/,/quote/GAHandler.aspx?action=new&WebBusClassId=20004&esource=10013
1,/,/quote/ION.aspx?WebBusClassId=20005,/,/quote/GAHandler.aspx?action=new&WebBusClassId=20005&esource=10013
1,/,/quote/ION.aspx?WebBusClassId=20007,/,/
1,/,/quote/ION.aspx?WebBusClassId=20007,/,/login/
1,/,/quote/ION.aspx?WebBusClassId=20007,/,/quote/ION.aspx?WebBusClassId=20007
1,/,/quote/ION.aspx?WebBusClassId=20009,/,/quote/GAHandler.aspx?action=new&WebBusClassId=20009&esource=20528
1,/,/quote/ION.aspx?WebBusClassId=20011,/,/quote/GAHandler.aspx?action=new&WebBusClassId=20011&esource=10016
1,/,/quote/ION.aspx?WebBusClassId=20011,/,/quote/ION.aspx?WebBusClassId=20011
1,/,/quote/ION.aspx?WebBusClassId=20014,/,/quote/ION.aspx?WebBusClassId=20014
1,/,/quote/ION.aspx?WebBusClassId=20015,/,/agentfinder/
1,/,/quote/ION.aspx?WebBusClassId=20015,/,/login/
1,/,/quote/ION.aspx?WebBusClassId=20015,/,/quote/GAHandler.aspx?action=new&WebBusClassId=20015&esource=10013
1,/,/quote/ION.aspx?WebBusClassId=20017,/,/quote/GAHandler.aspx?action=new&WebBusClassId=20017&esource=10016
1,/,/quote/ION.aspx?WebBusClassId=5002,/,/
1,/,/quote/ION.aspx?WebBusClassId=5002,/,/quote/?step=ZipCode
2,/,/quote/ION.aspx?WebBusClassId=6001,/,/login/
3,/,/quote/ION.aspx?WebBusClassId=6001,/,/quote/GAHandler.aspx?action=new&WebBusClassId=6001&esource=10013
1,/,/quote/ION.aspx?WebBusClassId=6003,/,/quote/ION.aspx?WebBusClassId=6003
